Date,USD/EUR,USD/JPY,USD/CZK,USD/GBP,USD/AUD,USD/BRL,USD/CNY,USD/ZAR,USD/CAD,USD/MXN,USD/ARS,USD/CHF,USD/INR,USD/VND,USD/ZMW,USD/IDR,USD/IQD,USD/IRR,Date.year,Date.month,Date.day-of-month,Date.day-of-week
2013-07-07,0.7794,101.19,,0.6718,1.1031,2.2525,6.1847,10.2063,1.058,12.9712,5.4099,0.964,61.069,21315.1,5.5063,9945.36,1167.075,12326.2,2013,7,7,7
2013-07-05,0.771,99.89,20.0563,0.6586,1.0959,2.2643,6.1796,10.0594,1.0514,12.9264,5.3958,0.9509,60.1461,21208.95,5.4692,9940.445,1163.29,12248.3,2013,7,5,5
2013-07-04,0.7706,100.18,20.0369,0.6574,1.0992,2.256,6.1845,10.0519,1.0537,13.0617,5.393,0.9496,60.1488,21232.35,5.496,9940.445,1165.615,12302.7,2013,7,4,4
2013-07-03,0.7672,99.98,19.9636,0.6583,1.0886,2.233,6.1793,9.9249,1.0524,12.9732,5.391,0.9476,59.5232,21172.55,5.4727,9930.575,1161.335,12263.95,2013,7,3,3
2013-07-02,0.7672,99.52,19.9622,0.6571,1.0884,2.2299,6.1799,9.904,1.0511,12.9181,5.3882,0.9456,59.4187,21207.75,5.4902,9925.62,1165.275,12306.7,2013,7,2,2
2013-07-01,0.7687,99.14,19.9603,0.6574,1.0942,2.2085,6.1807,9.88,1.0521,12.9409,5.3994,0.9449,59.632,21170.0,5.5044,9930.575,1161.2,12285.0,2013,7,1,1
2013-06-28,0.7676,98.06,19.8842,0.654,1.0756,2.1879,6.1919,10.0284,1.0458,13.0846,5.3718,0.9439,60.396,21035.0,5.482,9925.62,1163.75,12281.85,2013,6,28,5
2013-06-27,0.7665,97.71,19.7684,0.6502,1.0779,2.2066,6.1953,10.0986,1.049,13.2035,5.364,0.9402,60.2184,21072.45,5.4937,9930.575,1163.905,12302.2,2013,6,27,4
2013-06-26,0.7627,97.61,19.7061,0.6478,1.0805,2.2239,6.196,10.0463,1.0501,13.2356,5.3613,0.9352,59.7453,21020.7,5.4594,9930.575,1160.815,12270.7,2013,6,26,3
2013-06-25,0.7631,98.04,19.7403,0.6497,1.0843,2.2533,6.1987,10.1713,1.0505,13.3537,5.365,0.9352,59.8417,21030.4,5.4773,9930.575,1166.815,12335.1,2013,6,25,2
2013-06-24,0.7622,97.9,19.6401,0.6486,1.0847,2.2435,6.1893,10.1627,1.0457,13.3055,5.3665,0.9345,59.694,21179.0,5.4874,9930.575,1169.7,12380.0,2013,6,24,1
2013-06-21,0.7555,97.37,19.3475,0.6466,1.0838,2.2378,6.1851,10.2325,1.0327,13.2947,5.3482,0.9299,59.8362,21097.85,5.4889,9920.725,1163.175,12329.55,2013,6,21,5
2013-06-20,0.7473,95.38,19.1693,0.64,1.0552,2.1825,6.1713,9.996,1.0218,12.9119,5.3409,0.921,58.8504,21022.65,5.4478,9905.955,1161.34,12270.4,2013,6,20,4
2013-06-19,0.7478,95.08,19.2088,0.6384,1.0528,2.1714,6.1656,9.9976,1.0197,12.8613,5.3379,0.9214,58.5263,21023.1,5.4434,9905.955,1159.9,12268.5,2013,6,19,3
2013-06-18,0.7497,94.73,19.276,0.6365,1.043,2.1438,6.1557,9.9233,1.0167,12.7162,5.3296,0.9236,57.7785,20999.5,5.4269,9901.61,1161.21,12263.5,2013,6,18,2
2013-06-17,0.7493,94.09,19.2571,0.6367,1.0449,2.142,6.1607,9.9513,1.0171,12.7139,5.3306,0.9212,57.594,20954.5,5.4091,9918.695,1159.3,12250.0,2013,6,17,1
2013-06-14,0.7496,94.73,19.2216,0.6378,1.0495,2.1499,6.1638,10.002,1.0188,12.856,5.3206,0.9205,58.0689,20979.65,5.3998,9881.51,1161.325,12247.65,2013,6,14,5
2013-06-13,0.7513,96.27,19.2758,0.6385,1.0539,2.1369,6.1663,10.0471,1.0191,12.82,5.3123,0.9244,57.9835,20992.65,5.3978,9852.3,1150.245,12255.25,2013,6,13,4
2013-06-12,0.7534,97.58,19.3579,0.6419,1.0633,2.1466,6.17,10.1824,1.0204,12.9253,5.3052,0.9299,58.3799,20989.1,5.3789,9823.27,1148.065,12254.45,2013,6,12,3
2013-06-11,0.7568,98.5,19.3841,0.6436,1.0596,2.1403,6.171,10.1272,1.0197,12.8158,5.3049,0.9367,57.817,21027.65,5.3756,9828.205,1159.74,12298.7,2013,6,11,2
2013-06-10,0.7565,97.56,19.46,0.6428,1.053,2.1341,6.1694,9.963,1.0197,12.7711,5.3128,0.936,57.293,21087.0,5.3721,10018.11,1161.6,12318.5,2013,6,10,1
2013-06-07,0.7609,98.68,19.6486,0.6465,1.0508,2.1281,6.1745,9.9773,1.0321,12.862,5.2922,0.9387,56.8758,20971.35,5.3473,9794.405,1160.395,12262.3,2013,6,7,5
2013-06-06,0.7645,99.67,19.7204,0.6516,1.0432,2.1269,6.1748,9.8923,1.0346,12.7501,5.2917,0.946,56.6448,21015.3,5.3451,9799.175,1162.29,12281.1,2013,6,6,4
2013-06-05,0.7651,99.96,19.7178,0.6533,1.0322,2.1278,6.176,9.7932,1.0315,12.7385,5.286,0.9484,56.497,20949.6,5.3288,9804.005,1163.545,12245.5,2013,6,5,3
2013-06-04,0.7678,100.11,19.7575,0.6554,1.0346,2.1359,6.1806,9.9759,1.0341,12.7983,5.2831,0.9542,56.5946,20985.35,5.3464,9842.985,1153.905,12275.2,2013,6,4,2
2013-06-03,0.7694,100.46,19.8245,0.658,1.0449,2.1211,6.1846,10.0632,1.0375,12.8085,5.2777,0.9551,56.662,21002.5,5.3474,9933.65,1146.51,12272.5,2013,6,3,1
2013-05-31,0.77,101.02,19.9597,0.6594,1.036,2.1102,6.1839,9.8984,1.0339,12.6997,5.2773,0.9587,56.3093,20985.9,5.3154,9804.005,1154.01,12273.6,2013,5,31,5
2013-05-30,0.7755,101.68,20.0881,0.6636,1.0419,2.0841,6.1853,9.8125,1.0389,12.6513,5.2722,0.9698,56.2273,21031.35,5.3412,9804.005,1161.41,12310.05,2013,5,30,4
2013-05-29,0.775,101.92,20.0727,0.6628,1.0367,2.06,6.1801,9.6939,1.0357,12.4964,5.2676,0.9692,55.8569,20973.5,5.3239,9794.405,1154.745,12281.6,2013,5,29,3
2013-05-28,0.7732,101.03,20.0483,0.6614,1.0377,2.0471,6.1781,9.6045,1.0327,12.4938,5.2679,0.9625,55.65,21001.0,5.3104,9784.82,1150.05,12279.0,2013,5,28,2
2013-05-27,0.7733,101.28,20.1307,0.6612,1.0361,2.0519,6.1839,9.5762,1.032,12.5404,5.2717,0.9615,55.77,21013.0,5.2959,9775.255,1152.4,12303.5,2013,5,27,1
2013-05-24,0.7764,102.2,20.2507,0.6639,1.0325,2.0487,6.1914,9.5831,1.0352,12.4611,5.2578,0.9726,55.7634,20961.85,5.3127,9775.255,1158.25,12321.5,2013,5,24,5
2013-05-23,0.7747,102.85,20.2247,0.6619,1.0249,2.0385,6.189,9.5469,1.0302,12.3356,5.2484,0.9731,55.4941,20882.35,5.3094,9765.71,1149.0,12257.3,2013,5,23,4
2013-05-22,0.7761,102.55,20.286,0.6579,1.0205,2.039,6.1889,9.5009,1.0265,12.3088,5.2447,0.9687,55.1206,20926.2,5.3427,9765.71,1155.435,12264.8,2013,5,22,3
2013-05-21,0.7779,102.59,20.2985,0.6576,1.0226,2.0349,6.1974,9.4292,1.0274,12.3282,5.2386,0.9689,54.9702,20955.35,5.3553,9780.625,1162.37,12279.5,2013,5,21,2
2013-05-20,0.7789,103.22,20.2563,0.6593,1.0275,2.0344,6.2041,9.4048,1.0281,12.3463,5.2363,0.9727,55.042,21020.25,5.3686,9840.92,1156.85,12298.25,2013,5,20,1
2013-05-17,0.7763,102.27,20.1627,0.6559,1.0149,2.0243,6.2065,9.2964,1.0171,12.2263,5.233,0.9651,54.641,20931.55,5.3482,9746.67,1162.695,12267.7,2013,5,17,5
2013-05-16,0.7753,102.33,20.0578,0.657,1.0114,2.0225,6.2032,9.2576,1.0188,12.1982,5.2354,0.9675,54.6667,20966.25,5.3515,9746.67,1162.525,12296.9,2013,5,16,4
2013-05-15,0.7703,101.76,19.9295,0.6544,1.0059,2.0095,6.1982,9.1843,1.0126,12.1573,5.2341,0.9574,54.5983,20935.65,5.3334,9737.185,1162.41,12281.05,2013,5,15,3
